dataset,accuracy_mean,accuracy_std,accuracy_mean_std,macro_precision_mean,macro_precision_std,macro_precision_mean_std,macro_recall_mean,macro_recall_std,macro_recall_mean_std,macro_f1_mean,macro_f1_std,macro_f1_mean_std
formal,0.9508769703352643,0.0025179960678946194,0.9509 ± 0.0025,0.8652529700623905,0.008853375183134084,0.8653 ± 0.0089,0.8555049734967557,0.010696990122869388,0.8555 ± 0.0107,0.8601147543466133,0.00711586845770807,0.8601 ± 0.0071
informal,0.8783955125706756,0.009881502784382563,0.8784 ± 0.0099,0.8588285208870665,0.011774617872088767,0.8588 ± 0.0118,0.8633868241814782,0.01032154345250017,0.8634 ± 0.0103,0.8606303488247363,0.009970706839519955,0.8606 ± 0.0100
