dataset,fold,train_size,validation_size,accuracy,macro_precision,macro_recall,macro_f1,eval_loss
informal,1,5414,1354,0.8906942392909897,0.8715354525084501,0.873890909113081,0.8726892775995805,0.4384791851043701
informal,2,5414,1354,0.8840472673559823,0.862338825893017,0.8722653806334074,0.8669353261077636,0.529436469078064
informal,3,5414,1354,0.879615952732644,0.8609542162426557,0.8628475406525266,0.8618883965021448,0.5241013765335083
informal,4,5415,1353,0.8654841093865484,0.8394583296306593,0.85940323212847,0.8477865300860973,0.5181703567504883
informal,5,5415,1353,0.8721359940872137,0.8598557801605509,0.8485270583799055,0.8538522138280947,0.47999313473701477
