Model,Accuracy,Macro-F1
Naive Bayes (formal),0.8330206378986866,0.6531583851560865
SVM (formal),0.8749218261413383,0.7002841455577773
Logistic Regression (formal),0.8633520950594121,0.6301612009583607
Naive Bayes (informal),0.7171428571428572,0.6342686290437313
SVM (informal),0.7628571428571429,0.6902832783278328
Logistic Regression (informal),0.7142857142857143,0.6256825075834176
IndoBERT (formal),0.91,0.81
IndoBERT (informal),0.82,0.79
